length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.51027924,0.07115625,0.24832487,0.00547791,2711.0373208725186,177862.31085800703,2581.0738142712726,72259.87061362174,5654.370680588942,918639.5580902959,0.1502403846153846,0.0012558748030803615,-0.0013365294,0.022128424,-0.0016431557,0.026883714,117.45383522727273,19.165016,558.7329,76.368,205.80473,-17.587505,183.74051,23.52541,86.37027,0.8044337,105.23792,6.0594635,67.587166,-2.6245387,56.706974,6.896419,47.652443,1.2675341,52.123035,4.1768837,43.03596,-1.9932518,48.234936,1.7440014,37.97784,-0.41880414,24.103586,2.5412102,36.096603,-4.714332,28.78551,1.9023597,37.402023,-9.450232,22.06073,6.6572275,33.08354,4.95401,32.76811,4.02751,25.221678,Latin-TRUFXOK128F4248313-8,Latin,TRUFXOK128F4248313,Latin
3.0,0.3585485,0.09355821,0.14885893,0.0036145651,1569.0348170130599,578533.3537791229,1873.4145754508568,327648.62813538016,3297.6444185697114,3279276.256068253,0.058905498798076925,0.000958677452696851,-4.370171e-05,0.016120186,-1.29300915e-05,0.00425124,117.45383522727273,-143.59508,5858.4624,127.328156,1284.4071,-12.130032,511.68658,41.630417,277.1953,4.065534,84.27899,13.53889,64.177666,-4.433521,71.20322,5.9929094,70.34778,-1.9495358,66.83704,-0.20559402,42.310886,-3.88291,36.020382,4.728308,30.55269,-5.690702,28.223799,4.573442,42.51193,-3.3953726,36.02968,0.45332372,28.940632,-2.1388578,28.32479,-0.255861,69.23077,0.793938,57.798775,-1.7492929,59.574486,Latin-TRZCMJX128F4273317-4,Latin,TRZCMJX128F4273317,Latin
3.0,0.37991396,0.09124439,0.27064842,0.0037737489,2503.3589163723123,698442.3716670218,2784.006643852498,70511.34424738787,5707.541128305288,1912353.5418476933,0.1009051983173077,0.0061721204300603915,0.00017546066,0.045463853,0.00014155083,0.012824585,95.703125,-30.82023,1098.541,78.969604,787.2034,18.356562,166.28331,32.109318,146.40321,20.126188,143.17807,9.192449,151.75925,-0.4908973,78.23086,6.2698317,31.370094,-1.181147,88.70182,1.506605,54.585697,-6.2112885,43.96941,5.2675085,27.755402,-1.852806,84.908516,4.018521,30.172283,-3.94381,30.117083,1.8344077,43.827522,-4.9333925,26.328709,2.491693,51.579395,-4.4238706,42.44839,-5.3738804,28.221264,Latin-TREFVVJ128F146E4D1-10,Latin,TREFVVJ128F146E4D1,Latin
3.0,0.3049259,0.09315037,0.17810963,0.003113612,1455.8167621644272,93799.79721803468,1823.1295861042088,71164.91602659282,2680.800969050481,407053.835396548,0.07042893629807692,0.0009929282989727677,-3.0273934e-06,0.021509383,-0.00025774914,0.004248308,143.5546875,-123.76127,1370.5496,131.9203,281.0176,-16.424181,306.57104,25.831411,118.70331,17.241354,95.167206,17.995098,61.332058,-4.5095572,145.29898,12.464979,74.99393,-4.0817037,52.299522,9.214645,62.18777,6.588174,106.5469,-2.653426,82.05032,1.7252553,51.949326,4.064827,34.20866,1.4047192,56.662724,-2.1640446,55.51904,-10.306224,46.87916,-9.161668,93.67662,-2.4294755,61.014515,1.1591645,179.4061,Latin-TRTODLI128F4271E3E-7,Latin,TRTODLI128F4271E3E,Latin
3.0,0.36355087,0.10327386,0.12909532,0.009505727,2517.8395151627583,984934.8798868652,2751.6691458044575,208600.3453502263,5673.9990234375,3870098.978299361,0.09921123798076924,0.0039045619400295273,7.019025e-06,0.0037090252,-9.214665e-05,0.017514365,95.703125,-154.71107,5094.6904,76.36443,760.55963,10.546243,432.59454,22.582388,178.85793,13.734529,153.41692,6.2764,92.145676,-2.5015802,156.31984,-6.7769256,109.63687,-8.672361,73.10843,0.60401094,105.76965,-8.907706,101.63706,-1.1167598,138.59067,5.497331,138.97763,9.818206,93.76974,4.615853,76.90588,8.598582,139.32637,7.5706015,75.70472,7.7447143,55.171303,-3.784975,37.376545,-11.161102,45.118156,Latin-TRRIBOP128F934D0E6-9,Latin,TRRIBOP128F934D0E6,Latin
3.0,0.37781996,0.08789751,0.1722364,0.0024405657,2726.5178786001784,821515.6325300635,2712.7409796050792,151747.3646901304,5819.016864483173,2515845.019351413,0.13714317908653847,0.007703338727443175,-0.002495188,0.0111330515,-0.0017480771,0.01056673,123.046875,-47.48064,2221.6448,84.4668,509.0601,1.4245248,329.89566,4.5700936,187.06395,-13.56679,201.2874,-6.8373666,104.25439,-9.151957,96.531815,-7.583898,90.36246,-9.08266,54.12457,2.133499,70.99362,-6.0865602,70.3756,-0.109003626,52.319344,-6.7424684,55.077164,0.25650892,53.558285,-5.2932305,46.471348,5.729479,50.115044,-8.770618,35.558647,-0.4245275,30.480278,-8.493302,26.724016,0.8068284,27.729448,Latin-TRPHSJU128F424831A-5,Latin,TRPHSJU128F424831A,Latin
3.0,0.30018187,0.096467,0.12841319,0.002499735,1482.4812897160612,331629.89896245004,2052.689134523542,191349.35153472802,3117.8421724759614,2533637.082813195,0.04730694110576923,0.0005330182391510912,-1.8210256e-05,0.011034121,-1.369488e-05,0.0040353667,107.666015625,-189.70123,4840.859,123.04503,755.82745,21.11908,609.33344,38.037766,207.15565,0.18571308,236.18948,5.422681,336.103,5.348524,147.87852,-5.6733155,131.77092,-2.0422394,106.85861,7.4839425,64.29246,-7.4693274,70.19003,2.758148,85.23819,-4.516501,73.4674,2.9091444,96.92383,-3.0159063,52.537457,-8.224083,59.770454,-1.0344893,81.26573,-10.691474,75.0689,-3.655212,70.214905,-0.5326704,66.77765,Latin-TRFMDHN128F4285A49-5,Latin,TRFMDHN128F4285A49,Latin
3.0,0.3491335,0.09321687,0.12880208,0.003352194,1426.6449614415044,225256.57533055946,1984.5963110459907,207303.9736294269,2849.588153545673,1748192.9608252274,0.04181941105769231,0.0005086857045190575,-8.060329e-06,0.015850969,-0.00021719292,0.0017020986,117.45383522727273,-181.32689,2327.1396,126.35088,624.0389,3.8528361,837.20636,20.704807,151.21704,5.4409885,122.43462,15.208399,49.068615,8.853724,142.7269,7.2052703,57.860413,0.064431466,40.19878,5.55728,35.606255,-2.1628623,55.82955,2.7864308,32.514053,-3.2119284,29.367022,2.4697623,24.41986,-0.2298866,22.615786,5.002557,31.608732,-2.216808,28.652033,-1.3389959,41.367226,-10.58555,54.30069,-13.086685,44.964546,Latin-TRZCMJX128F4273317-10,Latin,TRZCMJX128F4273317,Latin
3.0,0.33324465,0.087118454,0.102882914,0.0011340316,1466.5215093906947,102340.8298788852,1952.0933390669122,120060.24775339574,2935.8037860576924,885418.3069670695,0.05658804086538462,0.00030855122402574886,7.449324e-05,0.008164199,-0.00017912398,0.0012476296,161.4990234375,-160.81091,2667.572,132.92723,275.3696,-7.5461445,256.67676,22.137495,63.916924,6.1595254,63.523273,11.551239,52.458,-1.4143547,35.548595,-6.7131205,42.61756,-4.533698,33.699432,-4.206074,27.04226,-9.511849,60.6344,7.7759504,61.926636,2.418866,66.40815,-3.8461504,58.356625,-10.266793,27.350431,1.5266334,50.11292,0.36512247,38.665478,4.102954,29.828447,-3.39502,29.816797,4.940606,35.308495,Latin-TRHAKKB128E07959DC-2,Latin,TRHAKKB128E07959DC,Latin
3.0,0.32918444,0.08974044,0.071912065,0.00078157015,2115.1770707004325,1026901.6061338321,2393.7467076218936,334409.20159944386,4351.446251502404,4863892.562543465,0.0899188701923077,0.003040363097331933,-1.2708978e-05,0.0036745048,-5.584666e-05,0.00087885675,123.046875,-179.09006,3454.1953,109.59319,1320.1156,10.431307,434.35602,11.650019,140.8068,2.1280468,237.06868,1.6778508,138.31459,-5.8858237,119.50613,7.0286613,41.6434,-6.441839,68.98408,-4.020585,74.757706,-6.702264,38.228485,-1.0664227,60.688423,0.9502794,42.646328,1.9077505,50.71871,0.009567671,76.89928,5.3707643,54.55734,-1.7639774,47.42561,-0.71293384,32.98022,-8.051344,29.680645,-3.084008,50.000893,Latin-TRCYMZH128F9313CF4-9,Latin,TRCYMZH128F9313CF4,Latin
