length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.35929322,0.09181614,0.20639512,0.0032485076,1524.7870835161152,212710.07916509412,2398.66879670676,126040.52981422794,3670.8313927283652,2531242.9429871445,0.04048602764423077,0.0002738990586184891,-0.0007797281,0.02887721,0.00048511437,0.0045128474,143.5546875,-124.97772,1897.3384,108.89438,376.719,27.976007,98.56579,34.271626,94.5118,19.715178,68.257744,24.015265,37.74531,9.217528,45.191196,6.0989404,42.814198,-3.2507718,26.123446,9.447151,34.385044,4.025516,84.86576,7.4963903,49.421753,0.3309727,36.03142,1.6561508,23.603466,-5.7223573,21.939096,10.548228,42.07193,-4.708559,41.311623,5.634543,38.038364,-5.3053155,38.16628,-2.2106411,39.962406,New Age-TRGETDV128E0796895-5,New Age,TRGETDV128E0796895,New Age
3.0,0.2551221,0.08207016,0.10841907,0.00056780066,1689.1446826137617,18522.441722316235,1728.9907280557354,11427.08714579629,3180.2056415264424,40624.089527729695,0.08602764423076924,0.0002658505975847414,-1.3559428e-05,0.009979177,-3.3172182e-05,0.0004375439,112.34714673913044,-147.91008,258.20038,115.28446,134.43951,-44.368824,86.78992,33.56528,86.33091,2.3123434,35.886497,-6.3939676,42.44508,-13.053686,27.450893,-8.835947,24.075394,-16.56982,48.35649,-3.3260438,39.208843,-11.929736,44.44332,-13.114916,66.38177,-13.161572,77.899666,-9.117724,49.26274,-13.53079,37.89171,-6.816564,59.136257,-15.24459,63.621025,-5.4046187,60.265907,-6.1679173,82.96091,-2.773289,59.399456,New Age-TRGYSPV128F146953B-9,New Age,TRGYSPV128F146953B,New Age
3.0,0.46168065,0.07576206,0.28959325,0.0038915689,1489.2980267297453,170305.31919464795,2090.1904088515257,190872.51691527953,3134.488994891827,1752339.319654506,0.048734224759615384,0.000330840976985954,-6.964836e-06,0.050204832,0.00039201172,0.0114672985,112.34714673913044,-51.879807,1689.5256,134.1219,465.52258,-6.1197677,358.86606,21.876064,148.38527,18.17348,90.3026,5.101436,94.02344,10.326143,41.73293,13.742662,25.878351,3.0092912,120.050735,5.650113,32.924103,4.4727774,52.63234,2.1711407,30.649698,6.158729,45.556816,6.8514786,41.280365,4.5897775,15.414981,2.8141696,25.379192,-0.029021278,23.46289,-1.4379476,30.04188,-1.3526361,29.006594,1.5116434,14.808573,New Age-TRCEQQA128F92F48B5-4,New Age,TRCEQQA128F92F48B5,New Age
3.0,0.3385451,0.08311768,0.13480882,0.00072067045,2157.30947738628,54448.52017599956,2397.9402766504677,18232.353241218727,4749.810509314904,233474.4281842511,0.08727839543269231,0.00030141724637274204,9.346957e-05,0.011071426,5.7660633e-05,0.0036647206,117.45383522727273,-81.55185,534.53613,92.66992,98.23072,-2.200938,90.87065,40.143745,32.916264,2.4822555,25.66111,7.2556806,22.005665,-10.314754,21.712833,8.0700035,16.891876,3.4624774,31.017384,19.118895,49.0815,2.429855,22.971252,-1.4561809,16.088507,-3.49993,31.491493,-3.889001,21.828318,-8.47605,34.477665,5.0972943,25.256025,7.0702243,42.116547,7.1186786,43.236103,6.057784,28.991898,9.326747,33.525623,New Age-TRPZFRA128F146956E-8,New Age,TRPZFRA128F146956E,New Age
3.0,0.43897313,0.08889148,0.26691902,0.01017638,2669.814876804445,228751.82830058192,2999.71762843132,57600.3643437028,6461.948617788462,1183686.0840484237,0.09038837139423077,0.0014132046135219597,-9.1426315e-05,0.039519146,0.00050870865,0.018675378,129.19921875,-24.785248,1103.8011,81.679955,170.30487,19.901548,92.99707,16.305819,88.45896,-2.1799405,47.681217,5.628032,61.354664,10.807096,33.68466,5.9700737,60.2647,3.377981,24.32542,1.1376638,40.542923,-0.05844612,18.709091,4.22375,62.88959,-1.5071983,35.657772,3.659642,35.02208,0.88627326,33.696247,6.4254,27.304512,2.2894764,33.389133,10.49286,39.84097,0.45929518,27.12431,7.763396,38.99996,New Age-TRFZASN128F93045F8-10,New Age,TRFZASN128F93045F8,New Age
3.0,0.27519593,0.08377097,0.052717444,9.83602e-05,1145.98092040339,12255.228941258269,1610.576779585863,21233.73181856048,2073.564640925481,115521.47356084819,0.04591721754807692,2.853101527197121e-05,-1.11288155e-05,0.0025436615,-3.1104282e-05,5.263279e-05,123.046875,-245.20027,328.0211,159.44572,93.77658,-11.364539,54.615974,15.826523,29.895306,10.674596,28.361021,-11.067762,20.554127,-1.0945367,18.34845,-2.35975,18.557003,-20.356491,19.652252,-9.802663,17.567013,-11.327054,28.893862,-1.2530549,22.668861,-9.463312,20.509485,0.0025685236,19.803633,-4.6942034,20.204472,-7.1559477,19.504742,-3.2873037,14.453758,-9.890651,21.200327,-9.811105,17.994663,-4.4081306,17.617014,New Age-TRBLBSD128F1490EF0-2,New Age,TRBLBSD128F1490EF0,New Age
3.0,0.2954847,0.07515692,0.18172681,0.0012447666,2198.056864200877,203732.6725403549,2727.139107474587,83746.04010422235,5283.751126802885,1422260.0397335708,0.08092322716346154,0.0004682166336556158,-5.68995e-05,0.022961218,0.0010267476,0.003156615,143.5546875,-66.697426,1288.6561,95.55119,188.83119,20.116432,147.55261,24.17345,62.251675,9.2420845,62.706684,10.835712,29.099804,2.9555287,29.38131,0.4516432,21.112846,3.7376463,46.00723,2.3193233,26.137579,-1.6958861,40.348244,-0.705424,19.820848,-6.682252,34.85335,-0.75547564,32.71914,1.3934802,22.70962,9.120319,42.72295,8.632506,70.2089,11.668001,50.183018,4.588608,85.556725,-4.693576,47.8228,New Age-TROSQYZ128F92DACFC-2,New Age,TROSQYZ128F92DACFC,New Age
3.0,0.3480177,0.073775694,0.26827675,0.0011878536,2394.5823994380403,154122.10180907094,2494.977110300104,82149.73419139032,5145.607346754808,1241351.379125076,0.1296161358173077,0.001012153301013292,-4.4855795e-05,0.03780382,0.00022202267,0.011144601,129.19921875,21.438334,566.1142,95.24802,191.7091,-15.182592,110.01544,5.9761734,37.563152,-0.41907096,30.99265,13.489275,24.503967,9.1427355,28.86695,15.872769,36.52744,0.013464591,31.415426,4.6858454,48.82865,-1.443935,31.797487,0.909822,49.617878,3.9675376,55.87611,5.9180975,26.921917,-6.496892,65.948616,3.3495524,41.448296,-2.5150256,22.329147,0.21310794,25.27584,0.05652102,33.342793,1.754673,32.81089,New Age-TRNVLKM128F4285E1C-3,New Age,TRNVLKM128F4285E1C,New Age
3.0,0.37783948,0.0730143,0.10994274,0.00069836597,2133.2691188361346,38599.13659571011,2293.46179990026,24478.45392022269,4632.7858323317305,221230.88561063688,0.09595477764423077,0.0002341352411981165,-0.00031021988,0.0086271055,-0.0013044607,0.0009924541,123.046875,-79.04123,881.94135,101.39173,112.896515,-13.36036,36.412106,29.185854,34.87148,-5.0881295,35.444576,12.897119,25.249084,-8.988416,20.194761,1.7137413,20.595789,-11.716756,29.21408,0.511226,32.233143,-6.978261,43.527412,-1.0208845,32.54462,-8.056194,25.72223,-0.1997057,19.607485,-8.307946,29.02236,-1.3611656,23.4898,-3.9562335,17.278374,0.021393541,16.522083,-8.468091,25.210115,-0.26838696,18.596998,New Age-TROPHST128F42ABAF9-1,New Age,TROPHST128F42ABAF9,New Age
3.0,0.3377567,0.0795603,0.2039626,0.004591732,1774.7905161964554,225018.90523408318,2178.365517693147,112363.85863885326,3566.1468975360576,1547409.1047072904,0.07653996394230769,0.0006088259093154816,2.3723669e-05,0.025092574,-6.05531e-05,0.0074466406,172.265625,-51.358864,1651.4568,126.5481,304.04364,-8.998024,119.6902,11.260805,105.84321,2.8144763,79.54422,2.0831833,76.254166,7.105715,94.98098,1.6443805,76.908775,-5.2604966,56.683968,2.4986835,35.127,-10.684167,31.259699,1.802776,58.581657,-7.604297,34.493557,4.1477065,41.759842,-6.39532,25.345095,-1.3399601,36.45679,-1.1544267,37.43955,-1.0059352,26.121662,-8.738196,38.406227,-1.4892205,41.47073,New Age-TRFORFZ128F9311116-1,New Age,TRFORFZ128F9311116,New Age
