track_id,tags,genre,energy,key,valence,tempo_x,time_signature,chroma_stft_mean,chroma_stft_var,rms_var,spectral_centroid_mean,spectral_centroid_var,harmony_mean,perceptr_mean,tempo_y,mfcc1_variance,mfcc3_mean,mfcc3_variance,mfcc4_mean,mfcc4_variance,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
TRYBJME128F425DA4D,country,Country,0.892,2,0.834,127.03,4,0.38700372,0.08718738,0.004224305,2767.796488378676,608005.2200771545,-5.7505654e-06,7.84707e-05,129.19921875,5921.425,-7.116711,593.1337,27.570276,292.8606,9.1807,6.809184,-8.287327,6.8796306,-4.410773,5.0685873,-4.3439465,1.9162687,-6.770748,1.9152541,-6.7596374,2.9715126,-4.11332,0.6356879,-3.2202263,-3.9770203
TRXDAGS128F149D988,country,Country,0.313,2,0.065,78.057,4,0.34904155,0.08690948,0.002851483,2167.9340777422085,565532.1619735768,3.444864e-05,0.00057842693,75.99954044117646,1932.8363,-11.262589,376.02164,30.556707,300.93604,7.352312,2.9017487,-3.3487499,8.12122,-3.526703,-1.381434,-4.0229754,-0.1440835,-1.0936491,4.875297,-5.384659,3.3517923,-3.3763998,1.4055179,-0.26750967,1.4874694
TRXIWSJ128F92F9D6C,"singer_songwriter, country",Country,0.309,7,0.431,102.633,4,0.2835416,0.085353695,0.00176956,1942.888751399449,349011.9222200659,-5.855858e-06,-2.000486e-05,103.359375,1840.0499,-12.894219,359.4431,27.770668,198.31796,-4.4066286,-16.19781,6.3451734,-7.472747,-2.919325,6.5398183,-11.68811,5.567898,-14.5834675,-5.4656596,-6.863954,-10.892026,-8.052351,-2.2244964,-8.314219,-2.8721993
TRYWWQC128F933761F,country,Country,0.728,2,0.333,98.992,4,0.34967706,0.080577165,0.003414231,2409.8919341418623,166172.2133481929,1.4544009e-05,-0.00016591517,99.38401442307692,535.93005,-17.465857,198.69238,31.109648,160.06688,5.546659,12.218652,-1.6127632,6.855735,0.95622015,5.3171687,-6.573507,8.1832905,-1.9471165,0.5994879,-1.0088905,2.4285486,-3.4019303,6.725001,1.0970508,3.2293587
TRDLAJC12903D081BF,country,Blues,0.456,4,0.786,165.778,4,0.27633482,0.083709665,0.0016654705,2000.565943837821,129286.48656012164,9.922487e-07,-6.056562e-06,161.4990234375,2157.3062,-31.759947,111.66907,52.185226,96.578255,-11.211672,2.1653214,-12.466489,-2.7802622,-15.100991,-5.020903,-8.728282,5.2288127,-7.3875275,-7.8859653,-8.581532,-5.7058415,-7.7166624,-3.996019,-11.005577,-2.9218674
TRAGPJO128F933B0EF,"female_vocalists, country",Country,0.47,9,0.465,141.987,4,0.31245688,0.09036552,0.0027787162,2432.120815056014,512566.301426791,-3.6115516e-06,1.6167769e-05,143.5546875,2065.186,21.844856,253.86339,29.861515,213.5,6.574999,18.401016,-4.0808883,10.2625675,-1.92153,16.543962,-5.210637,3.026245,-3.0594358,3.8737688,-2.8332453,2.5306346,-0.65297085,-1.8310235,-0.26717725,-2.9880931
TRCMYEG128F932F20D,"indie, folk, country, love",Rap,0.406,11,0.731,153.21,4,0.30852103,0.09316581,0.0017873311,1892.726590068464,1150515.5105762486,4.08201e-06,-1.2738994e-05,151.99908088235293,1921.4014,-6.0123816,709.2307,32.607365,278.63004,25.604198,-4.576674,-2.5388424,-13.457364,-2.4528801,-4.9416356,-14.808128,-2.4218898,-21.486156,-4.625003,-8.6693735,-11.34319,-11.788296,-7.214527,-17.101665,-8.562197
TRSSNUP128F42B841A,country,Country,0.553,0,0.584,179.832,4,0.35966894,0.0808459,0.0023250107,2523.801321407219,357284.77612644166,2.108295e-06,3.726452e-05,89.10290948275862,1545.1244,-5.271467,275.51077,20.90895,192.32233,5.70422,-5.4719343,5.533641,-10.979198,1.334577,0.9431675,-10.475898,0.37539002,-8.149146,8.673095,-7.026215,-1.8578585,-1.86207,-1.4360172,-2.9702082,4.795991
TRKOZVY12903CFDBD0,country,Country,0.898,0,0.929,123.001,4,0.40267873,0.07974467,0.0036227515,2628.710306070719,487263.1354770244,-7.4423533e-06,-3.7404512e-05,123.046875,1367.6748,0.27551308,234.59909,31.263088,133.98677,-1.0452851,9.040024,-0.936432,7.929057,-3.326454,8.703073,-8.317202,2.5168967,-3.845302,0.7196445,-2.9727356,1.3081344,-8.033289,1.9241623,-8.051521,-0.35052767
TRTRPHP128F424809F,country,Country,0.678,6,0.351,126.879,4,0.3818866,0.080593586,0.003045625,2436.476807642986,284551.95064552675,-1.7354469e-05,0.00019728854,129.19921875,1350.6373,9.854801,194.04254,26.589674,137.83923,2.599617,9.055088,4.7312202,3.690882,3.692875,10.764979,-8.114196,4.701201,-3.54823,-0.76527244,0.140509,4.71715,-1.1937058,2.852514,-4.10899,3.4953892
TRHBNSC12903CEA41C,"folk, country",Country,0.212,7,0.814,86.161,4,0.31143135,0.08845138,0.0042938404,1489.0925213831692,162903.7797837258,2.3280494e-05,-1.0504987e-06,86.1328125,3795.7256,-10.665925,273.80463,29.574514,272.02335,0.04163968,6.993291,-2.570991,5.859352,-7.425732,-1.9502575,-0.9792027,-1.0101038,-0.2509466,2.3051143,-2.3601332,-2.9865515,-9.694385,-3.054236,-5.280909,0.19314447
TROABHR128F429596B,"folk, singer_songwriter, country",Folk,0.517,7,0.716,80.034,4,0.37963703,0.08404075,0.0020817514,2521.2255232996167,735154.4423765804,-4.4393798e-07,-9.080633e-06,161.4990234375,2574.9353,2.7597315,474.32507,35.752045,218.67758,9.106923,9.270133,-6.591829,4.0763297,-2.439195,2.263787,-4.7142754,-1.367709,-5.294912,1.8540074,-4.381638,0.52967733,-4.7758055,-0.04163847,-4.6903577,-0.11755102
TRUCEMO128F92E7467,"folk, country",Country,0.316,2,0.249,133.989,4,0.31035367,0.08307282,0.0031298713,1867.388379960042,331839.59469353186,6.93895e-05,-5.4804248e-05,135.99917763157896,1493.3658,17.325184,146.06749,22.972013,173.1224,11.261393,3.433351,8.705124,-2.8929977,-5.022908,-1.7260754,-7.3252845,-3.9473593,-3.4015908,-2.0180666,-5.2408085,-1.5220244,-4.4466023,5.111502,-6.6853867,0.44031528
TRVFVHA128E078E844,country,Country,0.885,6,0.941,127.733,4,0.3807486,0.0889195,0.0035984125,2745.428935648777,340294.0260531334,-5.9135164e-06,0.0001410737,129.19921875,1109.1975,-12.109032,272.0688,20.874784,197.23557,3.8756928,4.344489,-2.4996006,10.558323,1.0894572,9.903474,0.7326185,5.4622846,-2.85565,0.10395222,-2.683133,0.34065175,1.082883,6.2975883,1.2093741,5.2703
TRJAEFB128F42644DD,"rock, pop, country, french",Jazz,0.703,0,0.697,144.094,4,0.3543209,0.088771656,0.0028891205,2140.211111859261,316356.89469269355,1.18870985e-05,7.225761e-05,95.703125,2002.0538,12.817316,233.54576,36.482555,121.46249,2.9011154,11.939187,0.19607128,10.030074,2.569604,10.4310255,0.43973505,3.108857,-4.3917265,0.24964082,-6.8282323,0.9345798,-3.0552099,1.253917,-5.5831656,-0.7487067
